step,cost,qf_loss,actor_loss,observations,action
39999,16235.501209735883,12.450054168701172,124.30519104003906,[-0.61882263  1.53473144  1.37477243  0.14122977  0.83523905 -0.14414834],[-9.6820135 22.474184  22.63313  ]
59999,17520.73771699085,13.286827087402344,134.4255828857422,[ 1.50298956  1.429271    2.28219544 -0.05714563  0.07859056  0.07623001],[-4.41367   -8.928388   1.2593555]
79999,12777.31799396758,58.38100814819336,132.34713745117188,[ 1.73728648  1.5701226   1.33077783  0.08049872 -0.03873237 -0.05698231],[ -4.522623 -14.89785  -14.981738]
99999,18645.152138246653,5.851966857910156,126.31387329101562,[-0.46637768  1.51951958  2.0857828  -0.17430811 -0.03070425  0.13439287],[ -1.3102715 -10.901647  -14.456379 ]
119999,17164.956101329106,8.45332145690918,126.30470275878906,[-2.49902502  1.57015076  0.05996098 -0.07970219  0.08364227  0.05077238],[ 3.868493 19.28629   3.496764]
139999,14282.435222950931,4.472393035888672,134.22567749023438,[-2.27850005 -1.28931119 -1.8799143   0.01866509  0.44117991 -0.08443331],[  4.2622848  13.438341  -12.92533  ]
159999,17821.448168475166,15.194097518920898,126.87834167480469,[ 2.24792233 -1.47066669 -1.75105677 -0.18124277  0.61172705 -0.01611517],[-21.28254     24.307482     0.35835212]
179999,15489.595309268141,5.109644889831543,129.78961181640625,[ 2.56819103  1.01636225  0.55995505 -0.15108392  0.10842129 -0.01587299],[ 3.1165307 16.22575    7.8942924]
199999,18788.102406773316,16.373756408691406,127.05557250976562,[ 1.7257279  -1.52873821 -1.01998769  0.05698554  0.15586313  0.01783972],[-14.51821     9.746975   -3.0893679]
219999,16007.474893841096,4.0859694480896,124.30815124511719,[-2.73167498  0.99634867 -0.46249594 -0.01532141  0.06755159 -0.01032175],[-2.5745087  2.698939  10.100102 ]
239999,18214.737408667068,2.8039956092834473,120.6682357788086,[-0.27875774  0.3065755   1.23694911 -0.09503521  0.19832544  0.00366446],[-1.8740608  -2.3925831   0.52955717]
259999,15967.862612443532,9.80722427368164,132.42825317382812,[-1.07682219 -1.28112624 -1.86860474 -0.09365272  0.45973365 -0.05464091],[-0.720166    0.19193883 -9.55776   ]
279999,13906.383973826834,3.215811252593994,126.63162231445312,[ 2.15790159  1.57070132 -1.5684167  -0.12219874 -0.02575907 -0.0353426 ],[-14.352198  12.587447  -4.848402]
