step,cost,qf_loss,actor_loss,observations,action
26653,[6468.1187],85234.0546875,226.7972869873047,[-10.01763303  -4.03663502  -1.64644072   4.877507  ],[3.220642]
34239,[10379.49],4560.0927734375,220.4419403076172,[-1.35370461  3.17877296 -3.68294423 -3.95244058],[-3.2778955]
44239,[11993.698],14702.3505859375,110.7393798828125,[ 1.42460608 -0.67494111 -4.99719108  1.67613003],[-12.3489275]
54239,[12384.582],11767.482421875,-49.77579116821289,[ 1.85946709  1.16658472  0.22044479 -4.86907469],[4.5025263]
64239,[12209.314],11919.720703125,-327.7755126953125,[ 1.35824539  1.89910974  2.23240477 -2.22010579],[3.9892495]
74100,[11416.88],5891.740234375,-504.7867126464844,[-2.30998042  0.21627359  4.3247821  -3.78191676],[6.766418]
84062,[10997.199],9784.955078125,-604.8509521484375,[ 0.9560341   3.53399787 -0.61240765 -2.94925363],[-0.8837997]
25442,[6116.7734],965636.8125,-83.60902404785156,[11.30359653 -2.21069646 34.68272134 -0.28531456],[25.802881]
29936,[11439.026],16175.2197265625,270.82196044921875,[ 3.58199568 -3.36991077 -3.9870054  -5.92795946],[-3.3470833]
39852,[11602.018],9840.271484375,148.0118408203125,[-1.24959415  2.8768236   1.03013141  7.9405413 ],[0.18338381]
49852,[10471.806],7087.048828125,-109.525146484375,[-1.83008175  1.78931921  1.4614019   4.33314191],[-2.9052544]
59852,[12632.997],6295.5966796875,-270.2912902832031,[ 1.44197154  2.76667516  0.80590151 -2.71442113],[2.9661596]
69852,[11026.087],6048.3359375,-435.37371826171875,[-0.92269033  3.22319473  0.46966341  7.2972688 ],[5.4078255]
79843,[10617.717],11411.1455078125,-585.5834350585938,[-10.47409678   4.02761461  -6.56080389  18.5518833 ],[11.483799]
89822,[10021.07],8333.48046875,-860.96630859375,[-10.14403556   4.08461037 -12.49885043  28.18409104],[20.78561]
