step,cost,qf_loss,actor_loss,observations,action
25260,13393.012487374273,29627336.0,91.93082427978516,"[ 3.16743572e+01  2.66763188e+01 -1.41642489e+01  3.56547642e-01
 -5.37703254e-02  2.10061332e-01  9.08766619e-01 -1.51365820e+04
  3.87675743e+01  1.96134179e+05  6.78809583e+02 -2.40712666e+03
  8.23308857e+02  1.53131785e+03  6.33284746e+03  5.33904039e+03
 -2.85437551e+03  5.06178622e+03  1.25427383e+03  5.73371087e+05
 -3.02786217e+06  7.75550746e+03  3.92449409e+07  1.35768634e+05
 -4.81606770e+05  1.64732030e+05  3.06001230e+05]",[-22.73781   -41.632057    3.8844328  12.650476   23.178516 ]
35260,5155.442286914056,5.647580146789551,-5.819899082183838,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[-95.91919    4.204966  56.515682  99.43334   26.305983]
44573,5835.139353710938,25.711801528930664,-31.728675842285156,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[-97.967896 -86.02545   45.529156  99.38345   94.12336 ]
54573,5721.3649005859525,2.213852643966675,-160.92391967773438,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[-99.25244  -43.13599   -4.421988  99.74538    9.607156]
64573,4673.147012792969,0.45494288206100464,-43.320411682128906,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[94.37644    2.1240401 63.983715  99.867096  96.56431  ]
74573,3846.266093359378,0.2985921800136566,-13.24419116973877,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[ 10.815493  71.43093  -17.067295  96.880295  34.21597 ]
84573,3897.2199631347653,0.183293879032135,-16.554712295532227,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[  7.2276244   6.3736873 -16.98701    98.46091    16.288155 ]
94573,3903.3584979492175,0.14415432512760162,-17.8724422454834,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[40.38241   11.835562  12.265734  96.585915  -2.3661726]
104573,3919.9465011718735,0.20591333508491516,-18.35737419128418,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[-44.325283    3.4192011 -15.119023   95.64091    54.550446 ]
114573,3908.544123046877,0.2131079137325287,-18.788074493408203,"[0.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0. ]",[-40.526806  18.250917  18.136934  99.34375  -17.28041 ]
