step,cost,qf_loss,actor_loss,observations,action
1999,12908853.414701665,9842864.0,26065.990234375,"[-3.34747227e+05  3.17028950e+05  3.39784210e+05 -3.43979665e+02
  3.42126101e+02  3.51425514e+02  1.48051590e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
2999,13325085.785498127,11698360.0,66230.171875,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
3999,13325085.785498127,14444849.0,128988.515625,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
4999,13325085.785498127,54729616.0,188989.65625,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
5999,13325085.785498127,26656112.0,232069.78125,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
6999,13325085.785498127,37712200.0,266930.25,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
7999,13325085.785498127,41901428736.0,323986.25,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
8999,13325085.785498127,17622200320.0,352522.5,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
9999,13325085.785498127,7201910.5,447682.8125,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
10999,13325085.785498127,74823088.0,483640.5625,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
11999,13325085.785498127,59212360.0,636777.9375,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
12999,13325085.785498127,32538271744.0,607552.75,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
13999,13325085.785498127,36081098752.0,650962.375,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
14999,13325085.785498127,12799170.0,571322.875,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
15999,13325085.785498127,43749138432.0,760945.0,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
16999,13325085.785498127,93050096.0,808048.5625,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
17999,13325085.785498127,49952669696.0,704462.125,"[-3.34778023e+05  3.29917784e+05  3.40067575e+05 -3.44014037e+02
  3.48633213e+02  3.51596262e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[ 300. -300. -300.]
