step,cost,qf_loss,actor_loss,observations,action
29999,1230.4882579057019,0.3919339179992676,-9.794411659240723,"[-0.35537803 -0.69205787  0.29181039 -1.74766309  1.6620328   0.05625099
 -0.07786584  0.06094438  0.002158   -0.33256725]",[-88.64374 -77.13886]
39999,1399.4091965384143,5.336669921875,-52.50444793701172,"[ 0.26497097 -1.02054559  0.9784403  -1.74613413  0.80353951 -0.08095164
  0.00719394 -0.08226677 -0.00911439  0.18058578]",[-91.11588  82.06796]
49999,461.74325765289205,4.387725830078125,-101.3397216796875,"[ 1.01244119 -0.71196966  2.0934969  -1.64429926 -1.74583599 -0.01656538
  0.02354157  0.01496198  0.0423296  -0.07475468]",[ 9.702813 15.755222]
59999,666.5213439630147,2.482182264328003,-112.40306091308594,"[ 1.19375592e+00 -6.54548818e-01  2.26092762e+00 -1.72669506e+00
 -1.74860470e+00  7.91129793e-02  4.67165080e-02  1.45460371e-01
 -1.54739480e-01 -1.58137781e-03]",[-16.933628 -44.53469 ]
69999,641.5914023962318,1.7203056812286377,-115.73333740234375,"[ 0.3453147  -1.08945019  1.51786508 -1.61180351 -1.74579749  0.10198231
 -0.05060158  0.17440485 -0.24403907  0.00472978]",[-7.6279984 -4.3946376]
79999,1038.2933351901136,0.9864765405654907,-118.03530883789062,"[-0.06411962 -1.37315755  1.21009831 -1.73896735 -1.74525386 -0.01619299
 -0.03052278  0.00314605 -0.0460271   0.02571954]",[-21.879065  -6.292981]
89999,942.0816544581498,0.5882351398468018,-114.8644790649414,"[-0.11051767 -1.3065567   1.12805985 -1.74593682 -1.74444481 -0.03281799
 -0.00813099 -0.02943612  0.00515557  0.00245445]",[-29.139456 -52.6593  ]
99999,823.4543317976035,0.6358158588409424,-113.62626647949219,"[ 0.11120008 -1.25575884  1.36147477 -1.74507302 -1.7027613  -0.01267087
 -0.0099297  -0.03123594  0.02803345  0.12051446]",[11.560779  9.136774]
109999,647.0470794831664,0.6303769946098328,-110.88997650146484,"[ 0.31147098 -1.25831025  1.53476915 -1.74384656 -1.74525174  0.0094607
 -0.018286    0.03466663 -0.04506555 -0.04398176]",[-55.411922   -5.7073345]
119999,466.01718501716647,0.6218588352203369,-110.7393798828125,"[ 9.02642711e-01 -9.88618961e-01  2.05155246e+00 -1.74561794e+00
 -1.74586055e+00  1.92758372e-02  6.37423863e-04  2.70815338e-02
 -1.35495584e-02  1.19923580e-02]",[-55.641865 -29.153002]
129999,527.8846223076843,0.6135439276695251,-112.1178970336914,"[ 0.72732275 -1.11564424  1.86150586 -1.74570657 -1.68449051  0.00414786
  0.01377448  0.0339912   0.00989316 -0.12415444]",[ 3.5626006 -3.8625133]
139999,418.057126827521,0.6025837659835815,-115.08284759521484,"[ 0.91891599 -0.86189648  2.18489173 -1.7475934  -1.73892786 -0.0076178
 -0.00557772 -0.01903203  0.04596175 -0.00636793]",[-44.323215   6.659872]
149999,442.7399269906631,0.5427230596542358,-115.79608917236328,"[ 1.15127842 -0.66012301  2.37927084 -1.74512451 -1.74597563  0.02118906
  0.03023716  0.06886989 -0.0370019  -0.08023377]",[ -2.4867845 -25.624796 ]
